Mass (kg),Angular Velocity (rad/s),Conductivity (S/m),Loss
62.43561663863075,0.5191503550123977,1.2127358249583078,9.642571305050309
143.10000289738826,0.4342183828975091,0.8036919303472689,4.094031390190021
112.47915185359672,0.5201873708378105,0.9076654384769028,6.7135107040592965
93.81218778758512,0.0627348387878035,0.7895247713464094,0.3710898620657104
31.84260966194111,0.4516721846757474,0.3733401829172622,8.410438638346509
31.83923284706837,0.5785647657325842,1.1114329613661076,9.872751842299213
18.13170570354792,0.8251366898431336,0.4930813074171981,16.722461475740783
131.26466040849093,0.3859805519797976,0.1340423530040353,9.901725520909213
94.15610164404924,0.3221314073634987,1.003661214270035,4.300297218188215
109.13016089144637,0.3896134504114019,0.3479549511698685,7.774683624913766
